names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
LRRTM3,161.77061,9.273873,0.0,0.0,0.9198994252873564,0.010178857059764432,2
DIPK2B,34.453136,9.1713505,4.229333801172008e-104,7.930000877197514e-103,0.8194444444444444,0.0076816387495999144,3
TIE1,23.965977,9.13487,1.7360041427983387e-70,1.9727319804526576e-69,0.6805555555555556,0.004160887656033287,3
ENSG00000268518,223.26488,9.096122,0.0,0.0,0.9608477011494253,0.016722408026755852,2
ANO2,40.217907,8.991858,3.229176566104173e-120,7.688515633581364e-119,0.8645833333333334,0.013229488957644298,3
ENSG00000287683,104.68763,8.972753,0.0,0.0,0.8186063218390804,0.008579322378944307,2
ENSG00000289973,67.31908,8.801073,0.0,0.0,0.6433189655172413,0.004216955067616693,2
ENSG00000289950,164.30199,8.783838,0.0,0.0,0.9234913793103449,0.014686636614802967,2
CTNND2,242.19693,8.763923,0.0,0.0,0.9701867816091954,0.02137559982550531,2
ENSG00000289873,23.187681,8.715786,9.033662817126278e-68,9.576321007554358e-67,0.6666666666666666,0.0061879867705110425,3
SORCS3,80.985596,8.707892,0.0,0.0,0.7230603448275862,0.0071251999418351026,2
TRIM55,151.15149,8.677731,0.0,0.0,0.9105603448275862,0.014395812127381126,2
LINC02552,98.41966,8.64668,0.0,0.0,0.7995689655172413,0.00930638359749891,2
MYBPC3,286.30835,8.582186,0.0,0.0,0.9809626436781609,0.027773738548785808,2
WNK2,68.6975,8.571013,0.0,0.0,0.6483477011494253,0.004653191798749455,2
CCDC88C,19.321339,8.554818,7.12061729978993e-54,6.05151611880164e-53,0.5798611111111112,0.004587645364344394,3
CADPS,146.45465,8.530325,0.0,0.0,0.9069683908045977,0.019921477388396103,2
MARCHF11-AS1,54.30435,8.503441,0.0,0.0,0.5344827586206896,0.00319906936164025,2
ROBO4,23.934078,8.444805,2.166296505127632e-70,2.4431915471364266e-69,0.6805555555555556,0.006828123332977702,3
CUX2,76.732254,8.421661,0.0,0.0,0.7011494252873564,0.007706848916678785,2
KCNH7,137.58392,8.417303,0.0,0.0,0.8940373563218391,0.02152101206921623,2
ERC2,166.96669,8.394476,0.0,0.0,0.930316091954023,0.022393485531481752,2
VWF,61.909824,8.335111,6.712776654636695e-170,2.7586753375219297e-168,0.9444444444444444,0.030726554998399658,3
RBM20,278.17572,8.32542,0.0,0.0,0.9823994252873564,0.039988367020503124,2
TRDN,244.93271,8.3144045,0.0,0.0,0.9737787356321839,0.02850079976734041,2
MARCHF11,58.077587,8.311246,0.0,0.0,0.5678879310344828,0.004507779555038534,2
EPHA7,102.03223,8.302091,0.0,0.0,0.8132183908045977,0.012505452959139159,2
MYOCD,295.7691,8.272471,0.0,0.0,0.9845545977011494,0.03867965682710484,2
NR5A2,19.192856,8.227458,2.0781453955561653e-53,1.751246119850701e-52,0.5763888888888888,0.00565453963512216,3
ENSG00000286797,70.33841,8.202829,0.0,0.0,0.6609195402298851,0.006688963210702341,2
EMCN,48.32613,8.192149,8.843392294671979e-141,2.6267501865362314e-139,0.9097222222222222,0.022404779686333084,3
TRDN-AS1,126.90492,8.190329,0.0,0.0,0.8796695402298851,0.020357714119528865,2
ADARB2,52.472492,8.176099,0.0,0.0,0.5165229885057471,0.004798604042460375,2
GCNT2,150.03934,8.1671,0.0,0.0,0.9119971264367817,0.02195724880034899,2
SPHKAP,99.337456,8.14229,0.0,0.0,0.8060344827586207,0.01657699578304493,2
MYO18B,291.88138,8.133509,0.0,0.0,0.9852729885057471,0.04115166497019049,2
SH3GL3,80.442635,8.13003,0.0,0.0,0.7241379310344828,0.009742620328631671,2
MTUS2,206.64009,8.108897,0.0,0.0,0.9608477011494253,0.03678929765886288,2
MPPED2,117.971176,8.07489,0.0,0.0,0.8573994252873564,0.01643158353933401,2
BMP5,265.0702,8.058219,0.0,0.0,0.9806034482758621,0.04100625272647957,2
ENTREP1,141.40752,8.054496,0.0,0.0,0.9026580459770115,0.02210266104405991,2
VWC2,55.44258,8.045556,0.0,0.0,0.5466954022988506,0.005234840773593137,2
MAPK4,62.91391,8.044282,0.0,0.0,0.6113505747126436,0.0062527264795695795,2
MLIP,318.4276,8.037671,0.0,0.0,0.9895833333333334,0.050021811836556636,2
MYCT1,19.837221,7.9955516,9.063678037689642e-56,7.904370381706083e-55,0.59375,0.006081297343433266,3
LDB3,299.91058,7.9668174,0.0,0.0,0.9870689655172413,0.04958557510542388,2
MROH7,101.097786,7.9421105,0.0,0.0,0.8096264367816092,0.014104987639959285,2
PPP1R14C,98.56807,7.8483915,0.0,0.0,0.8017241379310345,0.014395812127381126,2
TMOD1,113.00722,7.8474965,0.0,0.0,0.8462643678160919,0.01599534680820125,2
PPP2R2B,74.03714,7.786067,0.0,0.0,0.6892959770114943,0.012360040715428238,2
GALNT17,60.71197,7.744323,0.0,0.0,0.5923132183908046,0.007561436672967864,2
ADCY5,124.844864,7.7325096,0.0,0.0,0.8739224137931034,0.025010905918278318,2
SNAP91,66.04082,7.7307296,0.0,0.0,0.6357758620689655,0.009015559110077068,2
TECRL,290.59045,7.730286,0.0,0.0,0.990301724137931,0.06412679947651592,2
KCNN2,163.97833,7.711675,0.0,0.0,0.9321120689655172,0.03359022829722263,2
PALD1,34.27169,7.688731,9.239201173942243e-104,1.721590280858803e-102,0.8229166666666666,0.024965325936199722,3
SV2B,21.124153,7.6538258,1.8992948164025133e-60,1.8204103671589586e-59,0.6284722222222222,0.012055905259788755,3
