names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,cluster
MLIP,318.4276,8.037671,0.0,0.0,0.9895833333333334,0.050021811836556636,2
CTNNA3,303.67578,7.157758,0.0,0.0,0.9985632183908046,0.12141922349861858,2
LDB3,299.91058,7.9668174,0.0,0.0,0.9870689655172413,0.04958557510542388,2
MYOCD,295.7691,8.272471,0.0,0.0,0.9845545977011494,0.03867965682710484,2
MYO18B,291.88138,8.133509,0.0,0.0,0.9852729885057471,0.04115166497019049,2
TECRL,290.59045,7.730286,0.0,0.0,0.990301724137931,0.06412679947651592,2
MYBPC3,286.30835,8.582186,0.0,0.0,0.9809626436781609,0.027773738548785808,2
RBM20,278.17572,8.32542,0.0,0.0,0.9823994252873564,0.039988367020503124,2
BMP5,265.0702,8.058219,0.0,0.0,0.9806034482758621,0.04100625272647957,2
ACTN2,252.1314,7.105147,0.0,0.0,0.9867097701149425,0.07430565653628035,2
TRDN,244.93271,8.3144045,0.0,0.0,0.9737787356321839,0.02850079976734041,2
NCAM1,243.3724,6.8098764,0.0,0.0,0.9885057471264368,0.08986476661334884,2
CTNND2,242.19693,8.763923,0.0,0.0,0.9701867816091954,0.02137559982550531,2
NEBL,241.43219,6.383113,0.0,0.0,0.9956896551724138,0.149920023265959,2
MYOM1,231.98003,6.4850883,0.0,0.0,0.9899425287356322,0.12883524792787554,2
AKAP6,229.55757,6.4897823,0.0,0.0,0.9877873563218391,0.12316417042314963,2
ENSG00000268518,223.26488,9.096122,0.0,0.0,0.9608477011494253,0.016722408026755852,2
RYR2,222.14049,6.2126746,0.0,0.0,0.9953304597701149,0.2012505452959139,2
ERBB4,221.87654,6.7724724,0.0,0.0,0.9841954022988506,0.1265086520285008,2
CACNB2,216.88907,6.3113403,0.0,0.0,0.9874281609195402,0.15893558237603606,2
FBN2,216.65656,6.132111,0.0,0.0,0.9935344827586207,0.1877272066307983,2
MYL7,214.69798,6.174308,0.0,0.0,0.9931752873563219,0.15399156608986478,2
ENSG00000286071,211.74243,7.381328,0.0,0.0,0.9673132183908046,0.06630798313217973,2
CHRM2,210.17212,7.428589,0.0,0.0,0.9680316091954023,0.061073142358586595,2
TNNT2,208.5567,5.8411875,0.0,0.0,0.9949712643678161,0.18598225970626728,2
RNF150,208.2875,6.207255,0.0,0.0,0.9859913793103449,0.13116184382725024,2
MTUS2,206.64009,8.108897,0.0,0.0,0.9608477011494253,0.03678929765886288,2
CMYA5,198.51065,6.114349,0.0,0.0,0.9841954022988506,0.15282826814017741,2
SORBS2,197.73984,5.6479115,0.0,0.0,0.9974856321839081,0.24429256943434638,2
ADGRL3,189.57281,5.7900867,0.0,0.0,0.9881465517241379,0.17260433328486258,2
FHOD3,184.72029,5.2978716,0.0,0.0,0.9978448275862069,0.28486258542969317,2
TNNI3K,183.71794,7.4736533,0.0,0.0,0.9515086206896551,0.05511124036643886,2
MYL4,181.16255,7.1837,0.0,0.0,0.9529454022988506,0.048713101643158355,2
PLEKHA7,171.85953,7.151605,0.0,0.0,0.9457614942528736,0.055547477097571615,2
LDLRAD4,169.86226,6.6356673,0.0,0.0,0.9511494252873564,0.07474189326741312,2
ERC2,166.96669,8.394476,0.0,0.0,0.930316091954023,0.022393485531481752,2
ENSG00000289950,164.30199,8.783838,0.0,0.0,0.9234913793103449,0.014686636614802967,2
KCNN2,163.97833,7.711675,0.0,0.0,0.9321120689655172,0.03359022829722263,2
MYL3,163.62718,7.301401,0.0,0.0,0.9375,0.04565944452522903,2
SLC8A1-AS1,161.83708,6.5441113,0.0,0.0,0.9439655172413793,0.07910426057874073,2
LRRTM3,161.77061,9.273873,0.0,0.0,0.9198994252873564,0.010178857059764432,2
ESRRG,158.6555,7.2543383,0.0,0.0,0.9321120689655172,0.045804856768939944,2
PKP2,156.98926,6.502389,0.0,0.0,0.9403735632183908,0.07866802384760797,2
SIPA1L2,151.93004,4.903556,0.0,0.0,0.9859913793103449,0.2579613203431729,2
TRIM55,151.15149,8.677731,0.0,0.0,0.9105603448275862,0.014395812127381126,2
GCNT2,150.03934,8.1671,0.0,0.0,0.9119971264367817,0.02195724880034899,2
CADPS,146.45465,8.530325,0.0,0.0,0.9069683908045977,0.019921477388396103,2
TTN,145.72328,4.509567,0.0,0.0,1.0,0.47797004507779556,2
CORIN,142.88286,7.609401,0.0,0.0,0.9094827586206896,0.03867965682710484,2
ENTREP1,141.40752,8.054496,0.0,0.0,0.9026580459770115,0.02210266104405991,2
CCDC141,139.36137,6.8791046,0.0,0.0,0.9119971264367817,0.04987639959284572,2
CHN2,138.55887,5.9034476,0.0,0.0,0.9349856321839081,0.11153119092627599,2
