"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,2.6907765665429,0.752,0.267,0,"0","CCDC102B"
"2",0,2.05229355953753,0.633,0.221,0,"0","EBF2"
"3",0,2.09722492510592,0.641,0.248,0,"0","PIEZO2"
"4",0,2.01910272927019,0.56,0.195,0,"0","PPARG"
"5",0,2.01176596905246,0.553,0.189,0,"0","DCLK1"
"6",0,2.03412077102797,0.508,0.16,0,"0","PKNOX2"
"7",0,1.95645748184076,0.63,0.287,0,"0","UNC5C"
"8",0,2.27832974595049,0.616,0.29,0,"0","KHDRBS3"
"9",0,2.01301014844795,0.784,0.487,0,"0","PLPP1"
"10",0,2.12486588733654,0.524,0.238,0,"0","C7"
"11",0,3.78774840696801,0.875,0.172,0,"1","CTNNA3"
"12",0,3.80262091159308,0.813,0.123,0,"1","TECRL"
"13",0,3.82744184201174,0.789,0.1,0,"1","MLIP"
"14",0,3.78997676641312,0.759,0.083,0,"1","MYBPC3"
"15",0,3.8325989407644,0.744,0.083,0,"1","TRDN"
"16",0,3.81366019037166,0.704,0.058,0,"1","ENSG00000289950"
"17",0,3.86704214736157,0.679,0.055,0,"1","LRRTM3"
"18",0,4.01197829710588,0.581,0.044,0,"1","LINC02552"
"19",0,3.86448412544039,0.56,0.057,0,"1","BRINP3"
"20",0,3.78150465189794,0.511,0.037,0,"1","STYXL2"
"21",0,1.75908100176208,0.912,0.495,0,"2","CEMIP"
"22",0,2.071150147949,0.852,0.462,0,"2","DDAH1"
"23",0,1.88921442494024,0.719,0.347,0,"2","NRK"
"24",0,1.72253233735423,0.735,0.38,0,"2","LMCD1"
"25",0,1.90230032264077,0.889,0.654,0,"2","MID1"
"26",5.03993375896523e-308,1.88028008075734,0.529,0.199,1.94571682698612e-303,"2","BCL10-AS1"
"27",1.32867631279616e-291,1.55244947431895,0.573,0.227,5.12948777318087e-287,"2","SGK1"
"28",3.42131839032626e-291,1.56397648260765,0.731,0.502,1.32083417776935e-286,"2","PKP4"
"29",2.01940715323596e-277,1.56122655071612,0.59,0.271,7.79612325578275e-273,"2","C1orf198"
"30",7.75182349931681e-193,1.54066544432941,0.504,0.242,2.99266898014625e-188,"2","CCNYL1"
"31",0,1.97871312768287,0.78,0.456,0,"3","PTX3"
"32",9.56123284894438e-303,1.8607634627751,0.804,0.52,3.69120955366347e-298,"3","CCN2"
"33",1.21103483790318e-264,1.83378765792208,0.731,0.428,4.67532109520903e-260,"3","S100A6"
"34",2.02649940158566e-221,1.79834079889083,0.699,0.435,7.82350358976161e-217,"3","TAGLN"
"35",3.27745786384991e-176,1.85349581266024,0.638,0.421,1.2652953829179e-171,"3","HSPA5"
"36",7.6246397971796e-176,1.78295581275095,0.682,0.508,2.94356844009916e-171,"3","AHNAK"
"37",3.02369155775032e-165,1.90960613734693,0.588,0.357,1.16732636278509e-160,"3","CALR"
"38",2.28084271301796e-133,1.82562057440622,0.536,0.322,8.80542137787713e-129,"3","IGFBP5"
"39",5.92322277957347e-113,1.81299880641068,0.539,0.371,2.28671938628213e-108,"3","CAVIN1"
"40",4.21171154130268e-112,1.83900337837213,0.517,0.338,1.62597335763531e-107,"3","RPL3"
"41",0,3.89716540295966,0.697,0.067,0,"4","BRIP1"
"42",0,4.2432624993134,0.7,0.082,0,"4","MIR924HG"
"43",0,4.24795105690025,0.643,0.031,0,"4","POLQ"
"44",0,3.77389780943223,0.609,0.061,0,"4","ENSG00000290886"
"45",0,3.92209257722755,0.544,0.034,0,"4","CIT"
"46",0,5.19366789907957,0.51,0.011,0,"4","KIF18B"
"47",0,3.85927224113208,0.516,0.028,0,"4","BUB1B"
"48",0,3.80976515806877,0.514,0.035,0,"4","BUB1"
"49",0,4.21082771573451,0.501,0.023,0,"4","DTL"
"50",0,3.69884520586082,0.511,0.041,0,"4","KIF18A"
