"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.66924822807999,0.87,0.032,0,"0","MIR1-1HG"
"2",0,3.68226965575395,0.54,0.025,0,"0","LINC02248"
"3",0,3.57825097600218,0.533,0.057,0,"0","HS6ST3"
"4",0,6.56182036727841,0.85,0.053,0,"1","ANO2"
"5",0,6.68303776921098,0.832,0.056,0,"1","VWF"
"6",0,6.47678504906859,0.731,0.176,0,"1","MCF2L"
"7",0,8.42898022795245,0.832,0.065,0,"2","ACSM3"
"8",0,7.05639296082651,0.718,0.013,0,"2","MEG3"
"9",0,7.42963219956855,0.546,0.009,0,"2","VIT"
"10",0,6.48728847138891,0.837,0.068,0,"3","GUCY1A2"
"11",0,7.24405314653536,0.765,0.027,0,"3","EGFLAM"
"12",0,6.24820918860706,0.52,0.022,0,"3","BMP5"
"13",7.4168306298546e-152,1.35720486041939,1,0.895,2.86334163296167e-147,"4","PDE3A"
"14",8.1969509410308e-47,1.27700940394641,0.845,0.752,3.16451488029435e-42,"4","MYH7"
"15",0.000606075353073433,1.38909427472637,0.467,0.598,1,"4","VPS8"
"16",0,7.86410280844074,0.764,0.05,0,"5","F13A1"
"17",0,9.08150276543086,0.649,0.014,0,"5","CD163"
"18",0,8.44761674918379,0.526,0.01,0,"5","MS4A4E"
"19",0,11.3638189835874,0.721,0.002,0,"6","THEMIS"
"20",0,11.2513011038883,0.676,0.001,0,"6","BCL11B"
"21",0,10.6823618984406,0.64,0.004,0,"6","IL7R"
"22",0,10.3908355283864,0.951,0.013,0,"7","XKR4"
"23",0,11.9142530556633,0.557,0.003,0,"7","SHISA9"
"24",9.96847863820567e-267,10.7512380278027,1,0.045,3.84843086306568e-262,"7","NRXN1"
