"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,4.87129256721256,0.921,0.213,0,"0","CCDC102B"
"2",0,3.48244869797821,0.757,0.215,0,"0","PIEZO2"
"3",0,3.70624793125179,0.556,0.103,0,"0","COL24A1"
"4",0,3.51548442260422,0.869,0.416,0,"0","PLXDC2"
"5",0,3.1099000638851,0.709,0.272,0,"0","UNC5C"
"6",0,3.65100974999372,0.7,0.269,0,"0","KHDRBS3"
"7",0,3.29307874572519,0.632,0.202,0,"0","C7"
"8",0,3.62630290662479,0.882,0.458,0,"0","PLPP1"
"9",0,3.26020023732234,0.567,0.203,0,"0","ITGA1"
"10",0,3.41261287116394,0.507,0.172,0,"0","RNF152"
"11",0,2.37607060574665,0.979,0.371,0,"1","SERPINE1"
"12",0,2.35144951367017,0.872,0.288,0,"1","NRK"
"13",0,2.42468691341356,0.659,0.084,0,"1","NFASC"
"14",0,3.18291190168379,0.997,0.453,0,"1","CEMIP"
"15",0,2.6151796194484,0.539,0.067,0,"1","RXFP1"
"16",0,2.86679056299487,0.552,0.091,0,"1","ENSG00000287544"
"17",0,2.70294316296775,0.549,0.093,0,"1","FRMPD4"
"18",0,2.36972951641274,0.814,0.379,0,"1","KCND2"
"19",0,2.79432267644952,0.984,0.619,0,"1","NAV2"
"20",0,3.33694438641925,0.98,0.619,0,"1","MID1"
"21",0,6.72901594522583,0.919,0.02,0,"2","ENSG00000268518"
"22",0,6.20956348225478,0.981,0.09,0,"2","TECRL"
"23",0,6.68324046666955,0.995,0.152,0,"2","CTNNA3"
"24",0,6.22305384056842,0.981,0.149,0,"2","ERBB4"
"25",0,6.19810877437514,0.77,0.015,0,"2","ENSG00000287683"
"26",0,6.46247061625046,0.921,0.177,0,"2","FGF12"
"27",0,6.24323955847352,0.701,0.028,0,"2","BRINP3"
"28",0,6.40211818380326,0.593,0.006,0,"2","ENSG00000289973"
"29",0,6.45031870268154,0.561,0.006,0,"2","MAPK4"
"30",0,6.49162526848552,0.999,0.502,0,"2","SLC8A1"
"31",0,3.26387073650799,0.981,0.399,0,"3","PTX3"
"32",0,3.03247721445865,0.966,0.473,0,"3","CCN2"
"33",0,2.95197716595317,0.863,0.385,0,"3","S100A6"
"34",0,2.94398882974659,0.863,0.389,0,"3","TAGLN"
"35",0,2.83565062876618,0.996,0.601,0,"3","CCDC80"
"36",0,2.85764252455442,0.933,0.558,0,"3","CD63"
"37",0,2.88207330268494,0.945,0.581,0,"3","RPLP1"
"38",0,2.85263387227533,0.686,0.325,0,"3","CALR"
"39",0,2.81106855150053,0.557,0.257,0,"3","GJA1"
"40",0,2.90839025744072,0.992,0.699,0,"3","VIM"
"41",1.19209229537637e-159,3.45661804851388,0.671,0.281,4.60219151553e-155,"4","MYH7"
"42",7.83786901146022e-119,2.06647193128438,0.826,0.684,3.02588771056433e-114,"4","MT-CO1"
"43",8.12477739654078e-101,1.64048681084284,0.801,0.63,3.13665156170853e-96,"4","RPLP1"
"44",1.52027408831148e-55,1.73277728177385,0.636,0.518,5.86917014533529e-51,"4","HSP90AB1"
"45",7.83871257475065e-50,1.6624231608641,0.643,0.567,3.02621337660823e-45,"4","HSP90B1"
"46",2.74413101147395e-47,2.09098435996458,0.567,0.448,1.05939921828963e-42,"4","MT-CO3"
"47",1.79562397230679e-45,1.64638518590618,0.572,0.438,6.93218590748758e-41,"4","HSPA5"
"48",3.03602467366535e-41,1.63643382439364,0.607,0.548,1.17208768551524e-36,"4","NCL"
"49",1.3108790834218e-34,1.63362284258388,0.5,0.376,5.06077978945819e-30,"4","CALR"
"50",1.22670683423914e-32,1.65814566890772,0.549,0.48,4.73582440426361e-28,"4","GAPDH"
"51",0,8.04041489388724,0.76,0.023,0,"5","VWF"
"52",0,6.22791495032896,0.755,0.046,0,"5","ADGRF5"
"53",0,6.32432306229265,0.793,0.088,0,"5","RAPGEF5"
"54",0,8.5516965901463,0.685,0.011,0,"5","ANO2"
"55",0,7.22057815509387,0.671,0.016,0,"5","EMCN"
"56",0,6.29418701983844,0.7,0.058,0,"5","FLT1"
"57",0,6.95325190131694,0.627,0.018,0,"5","PALD1"
"58",0,7.08179737985257,0.594,0.007,0,"5","DIPK2B"
"59",0,6.79342349874957,0.587,0.019,0,"5","TMC1"
"60",0,6.82949221283368,0.519,0.011,0,"5","NOTCH4"
