"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CDC42EP3",0,1.85724064261402,0.64,0.187,0,"1","CDC42EP3"
"GRIP1",0,2.49403681439107,0.583,0.13,0,"1","GRIP1"
"MYO18A",0,1.89527327697384,0.651,0.199,0,"1","MYO18A"
"CHN1",0,2.40958763760058,0.556,0.106,0,"1","CHN1"
"CPVL",0,3.14004900275556,0.506,0.056,0,"1","CPVL"
"SLC8A1",0,3.65322618422122,0.956,0.506,0,"1","SLC8A1"
"HAND2-AS1",0,2.04903317881441,0.657,0.208,0,"1","HAND2-AS1"
"PCDH7",0,2.5770199112665,0.781,0.332,0,"1","PCDH7"
"CAP2",0,1.76458817709924,0.758,0.312,0,"1","CAP2"
"FILIP1",0,2.52595646083592,0.857,0.411,0,"1","FILIP1"
"PIK3R3",0,2.46836873546924,0.536,0.093,0,"1","PIK3R3"
"PIP5K1B",0,2.85414643266793,0.52,0.077,0,"1","PIP5K1B"
"MITF",0,1.98896982908624,0.765,0.324,0,"1","MITF"
"AGL",0,1.86755031670608,0.692,0.251,0,"1","AGL"
"ENSG00000189229",0,2.1804104162531,0.564,0.124,0,"1","ENSG00000189229"
"DSP",0,2.48591642718556,0.509,0.07,0,"1","DSP"
"LAPTM4B",0,1.70336337303001,0.638,0.202,0,"1","LAPTM4B"
"GPRIN3",0,2.30720031997067,0.516,0.082,0,"1","GPRIN3"
"MYEF2",0,2.46532405432679,0.508,0.074,0,"1","MYEF2"
"ACACB",0,2.04110642328337,0.571,0.137,0,"1","ACACB"
"ENSG00000285679",0,2.05915419356863,0.651,0.222,0,"1","ENSG00000285679"
"LRRC49",0,2.04320308465413,0.594,0.166,0,"1","LRRC49"
"PRKAG2",0,1.82860414363574,0.678,0.253,0,"1","PRKAG2"
"EMP2",0,1.92382438966167,0.55,0.127,0,"1","EMP2"
"TNNI1",0,1.76031259287648,0.505,0.083,0,"1","TNNI1"
"GRAMD1B",0,3.29123164935517,0.505,0.084,0,"1","GRAMD1B"
"ANKRD1",0,2.22699352679622,0.816,0.395,0,"1","ANKRD1"
"SORBS1",0,2.44673050308569,0.5,0.08,0,"1","SORBS1"
"TENT5A",0,1.86193319119524,0.685,0.268,0,"1","TENT5A"
"STARD4-AS1",0,1.79442004455151,0.614,0.197,0,"1","STARD4-AS1"
"HOMER1",0,1.72720486235781,0.637,0.221,0,"1","HOMER1"
"DAB1",0,2.37994889415095,0.601,0.188,0,"1","DAB1"
"SHROOM3",0,1.64020247390248,0.642,0.23,0,"1","SHROOM3"
"SNTA1",0,2.06087708652386,0.518,0.106,0,"1","SNTA1"
"HDAC9",0,2.04092379700903,0.803,0.392,0,"1","HDAC9"
"HEPH",0,1.97837241214296,0.599,0.188,0,"1","HEPH"
"NREP",0,1.79588048131053,0.791,0.384,0,"1","NREP"
"CACHD1",0,1.96281634991443,0.619,0.215,0,"1","CACHD1"
"ST6GALNAC3",0,1.95663943382748,0.504,0.1,0,"1","ST6GALNAC3"
"ATP11A",0,1.63049907448955,0.667,0.264,0,"1","ATP11A"
"NCKAP5",0,1.80196188368156,0.671,0.271,0,"1","NCKAP5"
"EIF1B",0,1.86845954709385,0.524,0.125,0,"1","EIF1B"
"PDE4DIP",0,1.78064410018558,0.776,0.379,0,"1","PDE4DIP"
"CERS6",0,1.70204048157103,0.736,0.34,0,"1","CERS6"
"ST6GAL1",0,1.80420279487587,0.562,0.167,0,"1","ST6GAL1"
"LGR4",0,1.9232683498386,0.763,0.368,0,"1","LGR4"
"PPP1R12B",0,2.56356057445096,0.857,0.462,0,"1","PPP1R12B"
"EDA",0,2.39380071836406,0.588,0.194,0,"1","EDA"
"KIF26B",0,2.25151002086868,0.876,0.483,0,"1","KIF26B"
"CPEB3",0,1.64120679336529,0.618,0.225,0,"1","CPEB3"
