"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GATA4",0,1.65706628098625,0.937,0.203,0,"0","GATA4"
"SLC38A1",0,1.12888481648595,0.899,0.165,0,"0","SLC38A1"
"NRAP",0,2.12270940063267,0.955,0.222,0,"0","NRAP"
"RNF207",0,1.10948381835469,0.807,0.075,0,"0","RNF207"
"SLC4A4",0,1.00157069321705,0.866,0.134,0,"0","SLC4A4"
"PYGB",0,1.69417096989155,0.822,0.09,0,"0","PYGB"
"PPARGC1B",0,1.03950969727853,0.89,0.16,0,"0","PPARGC1B"
"FYB2",0,2.37147394234811,0.807,0.078,0,"0","FYB2"
"GTF2IRD1",0,1.58413128940531,0.793,0.064,0,"0","GTF2IRD1"
"HRAT17",0,1.30386298041976,0.917,0.188,0,"0","HRAT17"
"PIP5K1B",0,1.09911283002145,0.92,0.191,0,"0","PIP5K1B"
"ACO2",0,1.02294557949328,0.858,0.131,0,"0","ACO2"
"LMOD2",0,2.28017193425421,0.929,0.203,0,"0","LMOD2"
"LINC01505",0,1.89099230622821,0.916,0.19,0,"0","LINC01505"
"SLC7A6",0,1.18643912501692,0.882,0.156,0,"0","SLC7A6"
"DGKG",0,1.12529431744708,0.91,0.185,0,"0","DGKG"
"FABP3",0,1.0055900896338,0.84,0.115,0,"0","FABP3"
"ENSG00000286071",0,1.81545787394071,0.86,0.135,0,"0","ENSG00000286071"
"MIR3936HG",0,1.11551324731197,0.808,0.084,0,"0","MIR3936HG"
"HSPB7",0,1.37354076542296,0.788,0.064,0,"0","HSPB7"
"TPM2",0,1.3642000412022,0.913,0.19,0,"0","TPM2"
"ATP1B1",0,1.07246540137315,0.871,0.149,0,"0","ATP1B1"
"NPAS2",0,1.17962984550887,0.896,0.175,0,"0","NPAS2"
"NEK10",0,1.40932119272307,0.828,0.107,0,"0","NEK10"
"LINC01128",0,1.56462749851473,0.805,0.085,0,"0","LINC01128"
"STYXL2",0,1.50007159368409,0.779,0.059,0,"0","STYXL2"
"ENSG00000287999",0,2.3996764719709,0.929,0.21,0,"0","ENSG00000287999"
"PTPN3",0,1.45736763745288,0.798,0.079,0,"0","PTPN3"
"PPARGC1A",0,1.80940445297274,0.943,0.224,0,"0","PPARGC1A"
"SLC41A1",0,1.05768869717078,0.806,0.089,0,"0","SLC41A1"
"SPHKAP",0,1.59833664526722,0.937,0.22,0,"0","SPHKAP"
"C10orf71",0,2.28632993542355,0.741,0.024,0,"0","C10orf71"
"SLC1A3",0,1.14561720886051,0.942,0.226,0,"0","SLC1A3"
"CACNA2D3",0,1.47414266443337,0.891,0.176,0,"0","CACNA2D3"
"PPP1R13L",0,1.29086860189564,0.781,0.066,0,"0","PPP1R13L"
"BCL11A",0,1.54121493892043,0.775,0.062,0,"0","BCL11A"
"NRG2",0,1.2168957773582,0.795,0.083,0,"0","NRG2"
"ENSG00000286639",0,1.41176280729548,0.903,0.193,0,"0","ENSG00000286639"
"GRAMD1B",0,1.04204464317367,0.855,0.145,0,"0","GRAMD1B"
"KIF21A",0,1.12051412334652,0.946,0.236,0,"0","KIF21A"
"PPP2R3A",0,1.44414352516709,0.939,0.23,0,"0","PPP2R3A"
"PKP2",0,1.90554157234209,0.971,0.264,0,"0","PKP2"
"MYPN",0,1.88802331009613,0.951,0.245,0,"0","MYPN"
"SYNM",0,1.09548411282887,0.789,0.084,0,"0","SYNM"
"RETREG1",0,1.35336701327785,0.938,0.233,0,"0","RETREG1"
"ADRA1A",0,1.17691463771308,0.819,0.114,0,"0","ADRA1A"
"MYOCD",0,1.32757171215265,0.843,0.14,0,"0","MYOCD"
"KLHL7",0,1.04712475724088,0.925,0.223,0,"0","KLHL7"
"TMEM71",0,1.70389746025837,0.957,0.255,0,"0","TMEM71"
"TMEM164",0,1.2086621907927,0.859,0.157,0,"0","TMEM164"
"REEP1",0,1.49880938124794,0.749,0.048,0,"0","REEP1"
"SLC8A1-AS1",0,1.67544225084354,0.758,0.058,0,"0","SLC8A1-AS1"
"ASB2",0,2.11922366211276,0.732,0.033,0,"0","ASB2"
"NCAM1",0,1.77112918449637,0.966,0.268,0,"0","NCAM1"
"SPTB",0,1.4259794700881,0.742,0.044,0,"0","SPTB"
"FBXO32",0,1.68438214521764,0.902,0.205,0,"0","FBXO32"
"RRAD",0,1.77629779719527,0.755,0.058,0,"0","RRAD"
"MFN2",0,1.13005815694978,0.768,0.073,0,"0","MFN2"
"SMPX",0,1.05383372092672,0.769,0.074,0,"0","SMPX"
"FN3K",0,1.70291322998543,0.737,0.042,0,"0","FN3K"
